date begin,date end,score,number of words,pos_simple,neg_simple
2017-01-30 00:00:00,2017-02-05 00:00:00,-0.008157445475382639,208,1,15
2017-01-23 00:00:00,2017-01-29 00:00:00,0.000586002319992016,238,4,9
2017-01-16 00:00:00,2017-01-22 00:00:00,0.016766284848272334,192,4,6
2017-01-09 00:00:00,2017-01-15 00:00:00,0.022660683550232204,243,5,7
2017-01-02 00:00:00,2017-01-08 00:00:00,0.011259162009136616,203,3,7
2016-12-26 00:00:00,2017-01-01 00:00:00,0.009873418446624198,177,4,2
2016-12-19 00:00:00,2016-12-25 00:00:00,0.01420927264811697,307,2,9
2016-12-12 00:00:00,2016-12-18 00:00:00,0.003952847009774363,333,6,17
2016-12-05 00:00:00,2016-12-11 00:00:00,0.007205521299072015,382,4,15
2016-11-28 00:00:00,2016-12-04 00:00:00,0.0060492268202781444,369,6,23
2016-11-21 00:00:00,2016-11-27 00:00:00,-0.015262069997336477,236,3,14
2016-11-14 00:00:00,2016-11-20 00:00:00,0.008108769792709605,252,4,10
2016-11-07 00:00:00,2016-11-13 00:00:00,0.005008145813685409,291,3,14
2016-10-31 00:00:00,2016-11-06 00:00:00,-0.0003755864498963773,305,2,11
2016-10-24 00:00:00,2016-10-30 00:00:00,0.019102868424678256,295,7,15
2016-10-17 00:00:00,2016-10-23 00:00:00,0.015208216968045491,271,4,9
2016-10-10 00:00:00,2016-10-16 00:00:00,-0.004045022227776744,320,3,13
2016-10-03 00:00:00,2016-10-09 00:00:00,0.009863191297374835,317,5,8
2016-09-26 00:00:00,2016-10-02 00:00:00,0.013706774544817607,317,1,8
2016-09-19 00:00:00,2016-09-25 00:00:00,0.004216605638184526,317,2,13
2016-09-12 00:00:00,2016-09-18 00:00:00,0.01597109136238299,325,4,13
2016-09-05 00:00:00,2016-09-11 00:00:00,0.0188343586038219,334,4,11
2016-08-29 00:00:00,2016-09-04 00:00:00,0.007932212445468082,364,6,21
2016-08-22 00:00:00,2016-08-28 00:00:00,0.007302640280379985,347,3,21
2016-08-15 00:00:00,2016-08-21 00:00:00,0.009756116645338422,231,4,5
2016-08-08 00:00:00,2016-08-14 00:00:00,0.017867199439516413,316,5,17
2016-08-01 00:00:00,2016-08-07 00:00:00,0.0064124255776880105,313,8,13
2016-07-25 00:00:00,2016-07-31 00:00:00,0.010291590053614654,353,7,8
2016-07-18 00:00:00,2016-07-24 00:00:00,0.0006143719916467627,424,6,16
2016-07-11 00:00:00,2016-07-17 00:00:00,0.013026636717611477,385,4,15
2016-07-04 00:00:00,2016-07-10 00:00:00,0.016991703411184216,367,7,14
2016-06-27 00:00:00,2016-07-03 00:00:00,0.0018834079054301843,372,4,16
2016-06-20 00:00:00,2016-06-26 00:00:00,0.008841713384395227,383,7,19
2016-06-13 00:00:00,2016-06-19 00:00:00,0.005585739540864862,364,10,13
2016-06-06 00:00:00,2016-06-12 00:00:00,0.015454753771483806,347,13,16
2016-05-30 00:00:00,2016-06-05 00:00:00,0.0009091718477323065,376,2,14
2016-05-23 00:00:00,2016-05-29 00:00:00,-0.005847384732532156,384,3,14
2016-05-16 00:00:00,2016-05-22 00:00:00,0.01623799049690978,347,3,8
2016-05-09 00:00:00,2016-05-15 00:00:00,0.004790536869707896,380,5,9
2016-05-02 00:00:00,2016-05-08 00:00:00,0.007375964618008437,463,6,17
2016-04-25 00:00:00,2016-05-01 00:00:00,-0.010091726794014173,312,3,18
2016-04-18 00:00:00,2016-04-24 00:00:00,0.0029192480570184214,421,6,22
2016-04-11 00:00:00,2016-04-17 00:00:00,0.010089657273983546,347,2,13
2016-04-04 00:00:00,2016-04-10 00:00:00,0.012479610778997206,455,10,11
2016-03-28 00:00:00,2016-04-03 00:00:00,0.017625195841623954,494,11,23
2016-03-21 00:00:00,2016-03-27 00:00:00,0.011715318813946156,402,6,29
2016-03-14 00:00:00,2016-03-20 00:00:00,-0.008051104940398545,297,1,17
2016-03-07 00:00:00,2016-03-13 00:00:00,0.006218104693183609,410,6,26
2016-02-29 00:00:00,2016-03-06 00:00:00,-0.0012968038238005237,341,6,22
2016-02-22 00:00:00,2016-02-28 00:00:00,0.00807200215053184,357,2,15
2016-02-15 00:00:00,2016-02-21 00:00:00,0.008750678814696865,349,3,13
2016-02-08 00:00:00,2016-02-14 00:00:00,0.008056627428957396,262,1,6
2016-02-01 00:00:00,2016-02-07 00:00:00,0.015567697610053643,290,4,10
2016-01-25 00:00:00,2016-01-31 00:00:00,0.017921918012612198,382,7,17
2016-01-18 00:00:00,2016-01-24 00:00:00,0.016300805289818084,528,15,14
2016-01-11 00:00:00,2016-01-17 00:00:00,0.014233452229367465,311,7,6
2016-01-04 00:00:00,2016-01-10 00:00:00,0.007526007125176728,478,7,17
2015-12-28 00:00:00,2016-01-03 00:00:00,0.007288177408134708,402,4,17
2015-12-21 00:00:00,2015-12-27 00:00:00,-0.00046674703263833094,524,9,36
2015-12-14 00:00:00,2015-12-20 00:00:00,0.017428430973645333,316,6,9
2015-12-07 00:00:00,2015-12-13 00:00:00,0.01892464838331632,384,5,7
2015-11-30 00:00:00,2015-12-06 00:00:00,0.01051837058559614,417,16,15
2015-11-23 00:00:00,2015-11-29 00:00:00,0.014131332684017617,341,4,8
2015-11-16 00:00:00,2015-11-22 00:00:00,0.005535678870718448,450,5,22
2015-11-09 00:00:00,2015-11-15 00:00:00,0.014340960383314923,392,5,20
2015-11-02 00:00:00,2015-11-08 00:00:00,0.005484239775402642,430,7,3
2015-10-26 00:00:00,2015-11-01 00:00:00,0.0074934276205162655,355,10,11
2015-10-19 00:00:00,2015-10-25 00:00:00,0.0064788271704943915,417,12,12
2015-10-12 00:00:00,2015-10-18 00:00:00,0.00589340510241651,330,2,11
2015-10-05 00:00:00,2015-10-11 00:00:00,0.008996793703158286,421,9,19
2015-09-28 00:00:00,2015-10-04 00:00:00,0.013623917773694417,395,6,9
2015-09-21 00:00:00,2015-09-27 00:00:00,0.023414904849869515,454,9,12
2015-09-14 00:00:00,2015-09-20 00:00:00,0.005297109116839505,449,5,14
2015-09-07 00:00:00,2015-09-13 00:00:00,0.01293658668545829,344,4,3
2015-08-31 00:00:00,2015-09-06 00:00:00,0.013139917835606774,371,4,16
2015-08-24 00:00:00,2015-08-30 00:00:00,0.010461265408170266,463,6,14
2015-08-17 00:00:00,2015-08-23 00:00:00,0.01187714870054929,380,8,8
2015-08-10 00:00:00,2015-08-16 00:00:00,0.013835868866708755,491,12,24
2015-08-03 00:00:00,2015-08-09 00:00:00,0.03193481966980502,390,6,12
2015-07-27 00:00:00,2015-08-02 00:00:00,0.020981772952260513,354,5,8
2015-07-20 00:00:00,2015-07-26 00:00:00,0.01192809023471063,387,9,5
2015-07-13 00:00:00,2015-07-19 00:00:00,0.005533349760019253,439,2,22
2015-07-06 00:00:00,2015-07-12 00:00:00,0.01137315766585717,542,12,16
2015-06-29 00:00:00,2015-07-05 00:00:00,0.027727351019414287,487,11,8
