timestamp,open,high,low,close,volume
2018-05-01,166.4102,168.2000,165.2700,167.9800,26070688
2018-04-30,162.1302,167.2600,161.8400,165.2600,41456340
2018-04-27,164.0000,164.3300,160.6300,162.3200,35655839
2018-04-26,164.1200,165.7300,163.3700,164.2200,27963014
2018-04-25,162.6200,165.4200,162.4100,163.6500,28382084
2018-04-24,165.6700,166.3300,161.2201,162.9400,33692017
2018-04-23,166.8348,166.9200,164.0900,165.2400,36515477
2018-04-20,170.5950,171.2184,165.4300,165.7200,65491140
2018-04-19,174.9500,175.3900,172.6600,172.8000,34808800
2018-04-18,177.8100,178.8200,176.8800,177.8400,20754538
2018-04-17,176.4900,178.9365,176.4100,178.2400,26605442
2018-04-16,175.0301,176.1900,174.8301,175.8200,21578420
2018-04-13,174.7800,175.8400,173.8500,174.7300,25124255
2018-04-12,173.4100,175.0000,173.0400,174.1400,22889285
2018-04-11,172.2300,173.9232,171.7000,172.4400,22431640
2018-04-10,173.0000,174.0000,171.5300,173.2500,28614241
2018-04-09,169.8800,173.0900,169.8450,170.0500,29017718
2018-04-06,170.9700,172.4800,168.2000,168.3800,35005290
2018-04-05,172.5800,174.2304,172.0800,172.8000,26933197
2018-04-04,164.8800,172.0100,164.7700,171.6100,34605489
2018-04-03,167.6400,168.7455,164.8800,168.3900,30278046
2018-04-02,167.8800,168.9400,164.4700,166.6800,37586791
2018-03-29,167.8050,171.7500,166.9000,167.7800,38398505
2018-03-28,167.2500,170.0200,165.1900,166.4800,41668545
2018-03-27,173.6800,175.1500,166.9200,168.3400,38962839
2018-03-26,168.0700,173.1000,166.4400,172.7700,36272617
2018-03-23,168.3900,169.9200,164.9400,164.9400,40248954
2018-03-22,170.0000,172.6800,168.6000,168.8500,41051076
2018-03-21,175.0400,175.0900,171.2600,171.2700,35247358
2018-03-20,175.2400,176.8000,174.9400,175.2400,19314039
2018-03-19,177.3200,177.4700,173.6600,175.3000,32804695
2018-03-16,178.6500,179.1200,177.6200,178.0200,36836456
2018-03-15,178.5000,180.2400,178.0701,178.6500,22584565
2018-03-14,180.3200,180.5200,177.8100,178.4400,29075469
2018-03-13,182.5900,183.5000,179.2400,179.9700,31168404
2018-03-12,180.2900,182.3900,180.2100,181.7200,32055405
2018-03-09,177.9600,180.0000,177.3900,179.9800,31385134
2018-03-08,175.4800,177.1200,175.0700,176.9400,23163767
2018-03-07,174.9400,175.8500,174.2700,175.0300,31703462
2018-03-06,177.9100,178.2500,176.1300,176.6700,23788506
2018-03-05,175.2100,177.7400,174.5200,176.8200,28401366
2018-03-02,172.8000,176.3000,172.4500,176.2100,38453950
2018-03-01,178.5400,179.7750,172.6600,175.0000,48801970
2018-02-28,179.2600,180.6150,178.0500,178.1200,33604574
2018-02-27,179.1000,180.4800,178.1600,178.3900,38685165
2018-02-26,176.3500,179.3900,176.2100,178.9700,36886432
2018-02-23,173.6700,175.6500,173.5400,175.5000,33329232
2018-02-22,171.8000,173.9500,171.7100,172.5000,30504116
2018-02-21,172.8300,174.1200,171.0100,171.0700,35833514
2018-02-20,172.0500,174.2600,171.4200,171.8500,33531012
2018-02-16,172.3600,174.8200,171.7700,172.4300,39638793
2018-02-15,169.7900,173.0900,169.0000,172.9900,50609595
2018-02-14,163.0450,167.5400,162.8800,167.3700,39669178
2018-02-13,161.9500,164.7500,161.6500,164.3400,32104756
2018-02-12,158.5000,163.8900,157.5100,162.7100,60560145
2018-02-09,157.0700,157.8900,150.2400,156.4100,66723743
2018-02-08,160.2900,161.0000,155.0300,155.1500,49594129
2018-02-07,163.0850,163.4000,159.0685,159.5400,50852130
2018-02-06,154.8300,163.7200,154.0000,163.0300,66625484
2018-02-05,159.1000,163.8800,156.0000,156.4900,66090446
2018-02-02,166.0000,166.8000,160.1000,160.5000,85436075
2018-02-01,167.1650,168.6200,166.7600,167.7800,38099665
2018-01-31,166.8700,168.4417,166.5000,167.4300,30984099
2018-01-30,165.5250,167.3700,164.7000,166.9700,45137026
2018-01-29,170.1600,170.1600,167.0700,167.9600,48434424
2018-01-26,172.0000,172.0000,170.0600,171.5100,37121805
2018-01-25,174.5050,174.9500,170.5300,171.1100,39661804
2018-01-24,177.2500,177.3000,173.2000,174.2200,50562257
2018-01-23,177.3000,179.4400,176.8200,177.0400,31702531
2018-01-22,177.3000,177.7800,176.6016,177.0000,26023683
2018-01-19,178.6100,179.5800,177.4100,178.4600,30827809
2018-01-18,179.3700,180.1000,178.2500,179.2600,30234512
2018-01-17,176.1500,179.2500,175.0700,179.1000,32752734
2018-01-16,177.9000,179.3900,176.1400,176.1900,29159005
2018-01-12,176.1800,177.3600,175.6500,177.0900,25039531
2018-01-11,174.5900,175.4886,174.4900,175.2800,17523256
2018-01-10,173.1600,174.3000,173.0000,174.2900,23589129
2018-01-09,174.5500,175.0600,173.4100,174.3300,21262614
2018-01-08,174.3500,175.6100,173.9300,174.3500,20134092
2018-01-05,173.4400,175.3700,173.0500,175.0000,23016177
2018-01-04,172.5400,173.4700,172.0800,173.0300,22211345
2018-01-03,172.5300,174.5500,171.9600,172.2300,28819653
2018-01-02,170.1600,172.3000,169.2600,172.2600,25048048
2017-12-29,170.5200,170.5900,169.2200,169.2300,25643711
2017-12-28,171.0000,171.8500,170.4800,171.0800,15997739
2017-12-27,170.1000,170.7800,169.7100,170.6000,21672062
2017-12-26,170.8000,171.4700,169.6790,170.5700,32968167
2017-12-22,174.6800,175.4240,174.5000,175.0100,16052615
2017-12-21,174.1700,176.0200,174.1000,175.0100,20356826
2017-12-20,174.8700,175.4200,173.2500,174.3500,23000392
2017-12-19,175.0300,175.3900,174.0900,174.5400,27078872
2017-12-18,174.8800,177.2000,174.8600,176.4200,28831533
2017-12-15,173.6300,174.1700,172.4600,173.9700,37054632
2017-12-14,172.4000,173.1300,171.6500,172.2200,20219307
2017-12-13,172.5000,173.5400,172.0000,172.2700,23142242
2017-12-12,172.1500,172.3900,171.4610,171.7000,18945457
2017-12-11,169.2000,172.8900,168.7900,172.6700,33092051
2017-12-08,170.4900,171.0000,168.8200,169.3700,23096872
2017-12-07,169.0300,170.4400,168.9100,169.3200,24469613
2017-12-06,167.5000,170.2047,166.4600,169.0100,28224357
