timestamp,open,high,low,adjusted close,volume,dividend amount,firstDiffAbs,firstDiff_%,ROC_2,newsRating
2018-05-17,189.01,189.53,185.1,187.58,73605573,0.0,-1.009999999999991,-0.5384369335750031,,
2018-05-11,185.18,190.37,183.665,188.59,148266951,0.73,5.468800000000017,2.899835622249332,0.005384369335750031,
2018-05-04,162.1302,184.25,161.84,183.1212,252805668,0.0,21.4271,11.70104826748623,-0.02899835622249332,
2018-04-27,166.8348,166.92,160.63,161.6941,162208431,0.0,-3.386899999999997,-2.0946342507240505,-0.11701048267486233,
2018-04-20,175.0301,178.9365,165.43,165.081,169238340,0.0,-8.975300000000004,-5.4369067306352665,0.020946342507240503,
2018-04-13,169.88,175.84,169.845,174.0563,128077139,0.0,6.325599999999981,3.6342263968612345,0.054369067306352666,
2018-04-06,167.88,174.2304,164.47,167.7307,164408813,0.0,0.5975999999999999,0.3562854027318791,-0.036342263968612336,
2018-03-29,168.07,175.15,165.19,167.1331,155302506,0.0,2.8291000000000115,1.6927227461227077,-0.0035628540273187907,
2018-03-23,177.32,177.47,164.94,164.304,168666122,0.0,-13.029599999999988,-7.930178206251818,-0.016927227461227073,
2018-03-16,180.29,183.5,177.62,177.3336,151720299,0.0,-1.9524000000000117,-1.1009757880063404,0.07930178206251819,
2018-03-09,175.21,180.0,174.27,179.28599999999997,138442235,0.0,3.7554000000000087,2.09464208025167,0.011009757880063404,
2018-03-02,176.35,180.615,172.45,175.5306,196432091,0.0,0.7073000000000036,0.4029496851261282,-0.0209464208025167,
2018-02-23,172.05,175.65,171.01,174.8233,133197874,0.0,3.0582,1.7493091595914272,-0.004029496851261282,
2018-02-16,158.5,174.82,157.51,171.7651,222582467,0.0,15.958199999999973,9.290711558983741,-0.017493091595914268,
2018-02-09,159.1,163.88,150.24,155.8069,299885932,0.63,-3.432799999999986,-2.2032400362243174,-0.0929071155898374,
2018-02-02,170.16,170.16,160.1,159.2397,248091289,0.0,-10.923599999999993,-6.859847136109897,0.022032400362243174,
2018-01-26,177.3,179.44,170.06,170.1633,185072080,0.0,-6.895399999999995,-4.052225127274797,0.06859847136109898,
2018-01-19,177.9,180.1,175.07,177.0587,122974060,0.0,1.359199999999987,0.7676550206230969,0.040522251272747965,
2018-01-12,174.35,177.36,173.0,175.6995,107548622,0.0,2.073599999999999,1.1801968702244452,-0.007676550206230969,
2018-01-05,170.16,175.37,169.26,173.6259,99095223,0.0,5.724700000000013,3.2971463358865316,-0.011801968702244451,
2017-12-29,170.8,171.85,169.22,167.9012,96281679,0.0,-5.7346,-3.4154609973007943,-0.03297146335886531,
2017-12-22,174.88,177.2,173.25,173.6358,115320238,0.0,1.0317999999999756,0.5942322954137198,0.03415460997300794,
2017-12-15,169.2,174.17,168.79,172.604,132453689,0.0,4.563900000000018,2.644144979258892,-0.005942322954137198,
2017-12-08,172.48,172.62,166.46,168.0401,134914322,0.0,-1.6667999999999952,-0.9919060986038422,-0.02644144979258892,
2017-12-01,175.05,175.08,167.16,169.7069,166555527,0.0,-3.8892000000000166,-2.2917158936967312,0.00991906098603842,
2017-11-24,170.29,175.5,169.56,173.5961,79873651,0.0,4.782100000000014,2.7547277847831912,0.022917158936967302,
2017-11-17,173.5,174.5,168.38,168.81400000000002,114281964,0.0,-4.484499999999997,-2.656473989124123,-0.027547277847831914,
2017-11-10,172.365,176.24,171.72,173.2985,136260721,0.63,2.768100000000004,1.5973017654509438,0.02656473989124123,
2017-11-03,163.89,174.26,163.72,170.5304,203892677,0.0,9.342099999999988,5.4782607675816095,-0.015973017654509442,
2017-10-27,156.89,163.6,155.27,161.1883,119574587,0.0,6.722299999999991,4.170463985289249,-0.054782607675816095,
2017-10-20,157.9,160.87,155.02,154.466,124593299,0.0,-0.7314999999999827,-0.4735669985627794,-0.04170463985289249,
2017-10-13,155.81,158.0,155.1,155.1975,80597481,0.0,1.6706999999999823,1.0764992992799385,0.0047356699856277934,
2017-10-06,154.26,155.49,152.46,153.5268,91971974,0.0,1.1665000000000134,0.7598021974013744,-0.010764992992799384,
2017-09-29,149.99,154.7189,149.16,152.3603,152105993,0.0,2.204499999999996,1.446899225060594,-0.0075980219740137455,
2017-09-22,160.11,160.5,150.56,150.1558,182738115,0.0,-7.898699999999992,-5.26033626406705,-0.01446899225060594,
2017-09-15,160.5,163.96,157.91,158.0545,217839085,0.0,1.23569999999998,0.7818189295464413,0.0526033626406705,
2017-09-08,163.75,164.25,158.53,156.8188,100402255,0.0,-5.358099999999978,-3.416745951378265,-0.007818189295464413,
2017-09-01,160.14,164.94,159.93,162.1769,124482489,0.0,4.142099999999999,2.5540628782520813,0.03416745951378265,
2017-08-25,157.5,160.74,155.1101,158.0348,110686493,0.0,2.3331000000000017,1.4763204053790695,-0.025540628782520808,
2017-08-18,159.32,162.51,156.72,155.7017,130951564,0.0,0.019799999999975167,0.012716624160157,-0.014763204053790696,
2017-08-11,157.06,161.83,154.63,155.6819,148310594,0.63,1.7021000000000015,1.0933191334381205,-0.00012716624160157,
2017-08-04,149.9,159.75,148.13,153.9798,159721244,0.0,6.783800000000013,4.405642818083939,-0.010933191334381205,
2017-07-28,150.58,153.99,147.3,147.196,103916337,0.0,-0.7581000000000131,-0.5150275822712663,-0.04405642818083939,
2017-07-21,148.82,151.74,148.57,147.9541,103297255,0.0,1.2110000000000127,0.8184970879482303,0.005150275822712663,
2017-07-14,144.11,149.33,143.37,146.7431,107844162,0.0,4.7851,3.2608688244966886,-0.008184970879482303,
2017-07-07,144.88,145.3,142.41,141.958,76896820,0.0,0.15760000000000218,0.11101875202524844,-0.032608688244966884,
2017-06-30,147.17,148.28,142.28,141.8004,125310202,0.0,-2.225200000000001,-1.5692480416134236,-0.0011101875202524844,
2017-06-23,143.66,147.16,143.66,144.0256,121757322,0.0,3.9481999999999857,2.741318210095973,0.015692480416134236,
2017-06-16,145.74,147.5,142.2,140.0774,217066551,0.0,-6.606599999999987,-4.71639250871303,-0.02741318210095973,
2017-06-09,154.34,155.98,146.02,146.684,93152454,0.0,-6.370300000000015,-4.34287311499551,0.0471639250871303,
2017-06-02,153.42,155.45,152.22,153.0543,86663811,0.0,1.8115999999999983,1.1836322141880355,0.0434287311499551,
2017-05-26,154.0,154.9,152.67,151.2427,101565411,0.0,0.5416000000000167,0.3580999281287736,-0.011836322141880356,
2017-05-19,156.01,156.65,149.71,150.7011,154981942,0.0,-2.9932000000000016,-1.9861832461740505,-0.003580999281287736,
2017-05-12,149.03,156.42,149.03,153.6943,167770544,0.63,7.6277000000000035,4.962903634031973,0.019861832461740503,
2017-05-05,145.1,148.98,144.27,146.0666,167777285,0.0,5.20689999999999,3.5647437538766495,-0.04962903634031974,
2017-04-28,143.5,144.9,143.18,140.8597,89143525,0.0,1.3532000000000153,0.9606722149770412,-0.0356474375387665,
2017-04-21,141.48,142.92,140.45,139.5065,89248503,0.0,1.1962999999999795,0.8575227677563265,-0.009606722149770413,
2017-04-13,143.6,143.8792,140.06,138.3102,87485653,0.0,-2.2454999999999927,-1.62352451229193,-0.008575227677563265,
2017-04-07,143.71,145.46,143.05,140.5557,105402499,0.0,-0.3137999999999863,-0.22325668756228764,0.0162352451229193,
2017-03-31,139.39,144.5,138.62,140.8695,127008757,0.0,2.9612999999999943,2.102158380628876,0.0022325668756228764,
2017-03-24,140.4,142.8,139.73,137.9082,129673979,0.0,0.6373999999999853,0.462191515805431,-0.021021583806288758,
2017-03-17,138.85,141.02,138.82,137.2708,121539506,0.0,0.833500000000015,0.6071939553058734,-0.00462191515805431,
2017-03-10,139.365,139.98,137.05,136.4373,99672282,0.0,-0.6276000000000009,-0.4599915125849025,-0.006071939553058734,
2017-03-03,137.14,140.2786,136.28,137.0649,127936976,0.0,3.0593999999999824,2.2320812987132252,0.004599915125849024,
2017-02-24,136.23,137.48,135.28,134.0055,87908859,0.0,0.9217000000000156,0.6878075899869897,-0.022320812987132246,
2017-02-17,133.08,136.27,132.75,133.0838,136667496,0.0,3.5301000000000045,2.6525392271636403,-0.0068780758998698965,
2017-02-10,129.13,132.94,128.9,129.5537,136449154,0.57,3.5234999999999985,2.7197216289461426,-0.026525392271636403,
