timestamp,open,high,low,close,adjusted close,volume,dividend amount
2018-05-17,189.0100,189.5300,185.1000,187.5800,187.5800,73605573,0.0000
2018-05-11,185.1800,190.3700,183.6650,188.5900,188.5900,148266951,0.7300
2018-05-04,162.1302,184.2500,161.8400,183.8300,183.1212,252805668,0.0000
2018-04-27,166.8348,166.9200,160.6300,162.3200,161.6941,162208431,0.0000
2018-04-20,175.0301,178.9365,165.4300,165.7200,165.0810,169238340,0.0000
2018-04-13,169.8800,175.8400,169.8450,174.7300,174.0563,128077139,0.0000
2018-04-06,167.8800,174.2304,164.4700,168.3800,167.7307,164408813,0.0000
2018-03-29,168.0700,175.1500,165.1900,167.7800,167.1331,155302506,0.0000
2018-03-23,177.3200,177.4700,164.9400,164.9400,164.3040,168666122,0.0000
2018-03-16,180.2900,183.5000,177.6200,178.0200,177.3336,151720299,0.0000
2018-03-09,175.2100,180.0000,174.2700,179.9800,179.2860,138442235,0.0000
2018-03-02,176.3500,180.6150,172.4500,176.2100,175.5306,196432091,0.0000
2018-02-23,172.0500,175.6500,171.0100,175.5000,174.8233,133197874,0.0000
2018-02-16,158.5000,174.8200,157.5100,172.4300,171.7651,222582467,0.0000
2018-02-09,159.1000,163.8800,150.2400,156.4100,155.8069,299885932,0.6300
2018-02-02,170.1600,170.1600,160.1000,160.5000,159.2397,248091289,0.0000
2018-01-26,177.3000,179.4400,170.0600,171.5100,170.1633,185072080,0.0000
2018-01-19,177.9000,180.1000,175.0700,178.4600,177.0587,122974060,0.0000
2018-01-12,174.3500,177.3600,173.0000,177.0900,175.6995,107548622,0.0000
2018-01-05,170.1600,175.3700,169.2600,175.0000,173.6259,99095223,0.0000
2017-12-29,170.8000,171.8500,169.2200,169.2300,167.9012,96281679,0.0000
2017-12-22,174.8800,177.2000,173.2500,175.0100,173.6358,115320238,0.0000
2017-12-15,169.2000,174.1700,168.7900,173.9700,172.6040,132453689,0.0000
2017-12-08,172.4800,172.6200,166.4600,169.3700,168.0401,134914322,0.0000
2017-12-01,175.0500,175.0800,167.1600,171.0500,169.7069,166555527,0.0000
2017-11-24,170.2900,175.5000,169.5600,174.9700,173.5961,79873651,0.0000
2017-11-17,173.5000,174.5000,168.3800,170.1500,168.8140,114281964,0.0000
2017-11-10,172.3650,176.2400,171.7200,174.6700,173.2985,136260721,0.6300
2017-11-03,163.8900,174.2600,163.7200,172.5000,170.5304,203892677,0.0000
2017-10-27,156.8900,163.6000,155.2700,163.0500,161.1883,119574587,0.0000
2017-10-20,157.9000,160.8700,155.0200,156.2500,154.4660,124593299,0.0000
2017-10-13,155.8100,158.0000,155.1000,156.9900,155.1975,80597481,0.0000
2017-10-06,154.2600,155.4900,152.4600,155.3000,153.5268,91971974,0.0000
2017-09-29,149.9900,154.7189,149.1600,154.1200,152.3603,152105993,0.0000
2017-09-22,160.1100,160.5000,150.5600,151.8900,150.1558,182738115,0.0000
2017-09-15,160.5000,163.9600,157.9100,159.8800,158.0545,217839085,0.0000
2017-09-08,163.7500,164.2500,158.5300,158.6300,156.8188,100402255,0.0000
2017-09-01,160.1400,164.9400,159.9300,164.0500,162.1769,124482489,0.0000
2017-08-25,157.5000,160.7400,155.1101,159.8600,158.0348,110686493,0.0000
2017-08-18,159.3200,162.5100,156.7200,157.5000,155.7017,130951564,0.0000
2017-08-11,157.0600,161.8300,154.6300,157.4800,155.6819,148310594,0.6300
2017-08-04,149.9000,159.7500,148.1300,156.3900,153.9798,159721244,0.0000
2017-07-28,150.5800,153.9900,147.3000,149.5000,147.1960,103916337,0.0000
2017-07-21,148.8200,151.7400,148.5700,150.2700,147.9541,103297255,0.0000
2017-07-14,144.1100,149.3300,143.3700,149.0400,146.7431,107844162,0.0000
2017-07-07,144.8800,145.3000,142.4100,144.1800,141.9580,76896820,0.0000
2017-06-30,147.1700,148.2800,142.2800,144.0200,141.8004,125310202,0.0000
2017-06-23,143.6600,147.1600,143.6600,146.2800,144.0256,121757322,0.0000
2017-06-16,145.7400,147.5000,142.2000,142.2700,140.0774,217066551,0.0000
2017-06-09,154.3400,155.9800,146.0200,148.9800,146.6840,93152454,0.0000
2017-06-02,153.4200,155.4500,152.2200,155.4500,153.0543,86663811,0.0000
2017-05-26,154.0000,154.9000,152.6700,153.6100,151.2427,101565411,0.0000
2017-05-19,156.0100,156.6500,149.7100,153.0600,150.7011,154981942,0.0000
2017-05-12,149.0300,156.4200,149.0300,156.1000,153.6943,167770544,0.6300
2017-05-05,145.1000,148.9800,144.2700,148.9600,146.0666,167777285,0.0000
2017-04-28,143.5000,144.9000,143.1800,143.6500,140.8597,89143525,0.0000
2017-04-21,141.4800,142.9200,140.4500,142.2700,139.5065,89248503,0.0000
2017-04-13,143.6000,143.8792,140.0600,141.0500,138.3102,87485653,0.0000
2017-04-07,143.7100,145.4600,143.0500,143.3400,140.5557,105402499,0.0000
2017-03-31,139.3900,144.5000,138.6200,143.6600,140.8695,127008757,0.0000
2017-03-24,140.4000,142.8000,139.7300,140.6400,137.9082,129673979,0.0000
2017-03-17,138.8500,141.0200,138.8200,139.9900,137.2708,121539506,0.0000
2017-03-10,139.3650,139.9800,137.0500,139.1400,136.4373,99672282,0.0000
2017-03-03,137.1400,140.2786,136.2800,139.7800,137.0649,127936976,0.0000
2017-02-24,136.2300,137.4800,135.2800,136.6600,134.0055,87908859,0.0000
2017-02-17,133.0800,136.2700,132.7500,135.7200,133.0838,136667496,0.0000
2017-02-10,129.1300,132.9400,128.9000,132.1200,129.5537,136449154,0.5700
2017-02-03,120.9300,130.4900,120.6200,129.0800,126.0302,249781248,0.0000
2017-01-27,120.0000,122.4400,119.5000,121.9500,119.0687,124748449,0.0000
2017-01-20,118.3400,120.5000,118.2200,120.0000,117.1648,116347987,0.0000
2017-01-13,117.9500,119.9300,117.9400,119.0400,116.2274,138810760,0.0000
2017-01-06,115.8000,118.1600,114.7600,117.9100,115.1241,103845468,0.0000
2016-12-30,116.5200,118.0166,115.4300,115.8200,113.0835,84828531,0.0000
2016-12-23,115.8000,117.5000,115.5900,116.5200,113.7670,113322891,0.0000
2016-12-16,113.2900,116.7300,112.4900,115.9700,113.2300,195015700,0.0000
2016-12-09,110.0000,114.7000,108.2500,113.9500,111.2577,151989664,0.0000
2016-12-02,111.4300,112.4650,108.8500,109.9000,107.3034,155499850,0.0000
2016-11-25,110.1200,112.4200,110.0100,111.7900,109.1487,94132421,0.0000
2016-11-18,107.7100,110.5400,104.0800,110.0600,107.4596,198341456,0.0000
2016-11-11,110.0800,111.7200,105.8300,108.4300,105.8681,207268979,0.0000
2016-11-04,113.6500,114.2300,108.1100,108.8400,106.2684,156346518,0.5700
2016-10-28,117.1000,118.3600,113.3100,113.7200,110.4599,210225569,0.0000
2016-10-21,117.3300,118.2100,113.8000,116.6000,113.2573,115531434,0.0000
2016-10-14,115.0200,118.6900,114.7200,117.6300,114.2578,208708383,0.0000
2016-10-07,112.7100,114.5600,112.2800,114.0600,110.7901,126029440,0.0000
2016-09-30,111.6400,114.6400,111.5500,113.0500,109.8091,156384035,0.0000
2016-09-23,115.1900,116.1800,111.5500,112.7100,109.4788,201095635,0.0000
2016-09-16,102.6500,116.1300,102.5300,114.9200,111.6255,390309366,0.0000
2016-09-09,107.9000,108.7600,103.1300,103.1300,100.1735,168803729,0.0000
2016-09-02,106.6200,108.0000,105.5000,107.7300,104.6416,133000624,0.0000
2016-08-26,108.8600,109.3200,106.3100,106.9400,103.8742,123605519,0.0000
2016-08-19,108.1400,110.2300,108.0800,109.3600,106.2249,132371408,0.0000
2016-08-12,107.5200,108.9400,107.1600,108.1800,105.0787,124505869,0.0000
2016-08-05,104.4100,107.6500,104.0000,107.4800,104.3988,170149120,0.5700
2016-07-29,98.2500,104.5500,96.4200,104.2100,100.6804,256571090,0.0000
